2024-10-08 21:33:21.098 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: Not Found at http://127.0.0.1:8000/favicon.ico
2024-10-08 21:36:56.761 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: No documents have been processed. Please check the PDF files in the directory. at http://127.0.0.1:8000/chat
2024-10-08 21:39:57.086 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: No documents have been processed. Please check the PDF files in the directory. at http://127.0.0.1:8000/chat
2024-10-08 21:40:09.404 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: No documents have been processed. Please check the PDF files in the directory. at http://127.0.0.1:8000/chat
2024-10-09 18:10:17.563 | ERROR    | app.routers.chat_router:chat_with_bot:64 - Error processing request: too many values to unpack (expected 2)
2024-10-09 18:10:17.593 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: too many values to unpack (expected 2) at http://127.0.0.1:8000/chat
2024-10-10 14:59:45.403 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: Not Found at http://127.0.0.1:8000/favicon.ico
2024-10-10 15:00:25.156 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('28000', "[28000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'pradeep'. (18456) (SQLDriverConnect); [28000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'pradeep'. (18456)")
2024-10-10 15:00:25.156 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('28000', "[28000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'pradeep'. (18456) (SQLDriverConnect); [28000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'pradeep'. (18456)") at http://127.0.0.1:8000/chat
2024-10-11 16:42:19.440 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: Not Found at http://127.0.0.1:8000/favicon.ico
2024-10-11 16:45:14.286 | ERROR    | app.services.chatbot_service:get_chatbot_response:135 - Unexpected error in get_chatbot_response: Connection error.
2024-10-11 16:45:14.286 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: Connection error.
2024-10-11 16:45:14.291 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: Connection error. at http://127.0.0.1:8000/chat
2024-10-11 19:55:05.845 | ERROR    | app.services.chatbot_service:get_chatbot_response:143 - Unexpected error in get_chatbot_response: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "samsung glaxy pros and cons in 1 line" can be categorized as Neutral. Th\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 19:55:05.853 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "samsung glaxy pros and cons in 1 line" can be categorized as Neutral. Th\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 19:55:05.860 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "samsung glaxy pros and cons in 1 line" can be categorized as Neutral. Th\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)') at http://127.0.0.1:8000/chat
2024-10-11 20:02:29.088 | ERROR    | app.services.chatbot_service:get_chatbot_response:143 - Unexpected error in get_chatbot_response: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is categorized as **Negative**. The use of the wo\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:02:29.088 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is categorized as **Negative**. The use of the wo\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 20:02:29.088 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "what a rubish service" is categorized as **Negative**. The use of the wo\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)') at http://127.0.0.1:8000/chat
